test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,12,0,6.61,4.23,30.20
CPUStress,12,10,37.17,6.99,36.10
CPUStress,12,20,53.90,8.36,41.40
CPUStress,12,30,61.51,8.66,43.60
CPUStress,12,40,66.25,8.76,44.80
CPUStress,12,50,69.72,8.77,48.00
CPUStress,12,60,73.70,8.78,50.70
CPUStress,12,70,77.34,8.80,52.40
CPUStress,12,80,79.50,8.76,53.80
CPUStress,12,90,82.01,8.78,55.90
CPUStress,12,100,83.23,8.82,57.70
VMStress,12,0,73.84,20.71,51.40
VMStress,12,10,74.02,20.85,51.30
VMStress,12,20,73.75,20.89,51.40
VMStress,12,30,73.92,20.89,51.30
VMStress,12,40,73.90,20.87,51.10
VMStress,12,50,73.69,20.80,51.20
VMStress,12,60,73.69,20.80,51.20
VMStress,12,70,73.76,20.89,51.70
VMStress,12,80,73.40,20.69,51.30
VMStress,12,90,73.64,20.76,51.10
VMStress,12,100,73.24,20.63,51.40
maximize,12,0,83.32,12.46,58.40
maximize,12,10,83.49,12.77,59.20
maximize,12,20,83.23,12.74,59.10
maximize,12,30,83.14,12.63,58.50
maximize,12,40,83.09,12.62,58.80
maximize,12,50,83.66,12.66,58.70
maximize,12,60,84.04,12.47,58.60
maximize,12,70,83.22,12.55,58.80
maximize,12,80,84.03,12.52,59.70
maximize,12,90,83.96,12.61,59.30
maximize,12,100,83.33,12.77,59.60
