test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,12,0,7.12,4.28,29.80
CPUStress,12,10,39.83,7.28,34.40
CPUStress,12,20,55.29,8.46,40.40
CPUStress,12,30,62.11,8.73,44.10
CPUStress,12,40,65.92,8.73,44.70
CPUStress,12,50,70.08,8.79,47.50
CPUStress,12,60,74.13,8.80,50.00
CPUStress,12,70,76.96,8.75,50.70
CPUStress,12,80,80.11,8.80,53.80
CPUStress,12,90,81.74,8.76,55.70
CPUStress,12,100,82.34,8.80,56.20
VMStress,12,0,73.89,20.71,50.80
VMStress,12,10,73.09,20.61,50.90
VMStress,12,20,73.64,20.88,50.50
VMStress,12,30,73.55,20.87,50.50
VMStress,12,40,73.44,20.81,50.80
VMStress,12,50,73.66,20.80,51.20
VMStress,12,60,73.45,20.80,51.40
VMStress,12,70,73.75,20.86,51.30
VMStress,12,80,73.55,20.78,51.30
VMStress,12,90,73.85,20.79,51.10
VMStress,12,100,73.86,20.88,51.30
maximize,12,0,83.02,12.56,57.80
maximize,12,10,83.21,12.55,59.20
maximize,12,20,83.59,12.55,59.20
maximize,12,30,83.47,12.51,59.90
maximize,12,40,83.44,12.42,59.70
maximize,12,50,84.20,12.45,59.50
maximize,12,60,83.73,12.70,60.60
maximize,12,70,83.83,12.48,59.80
maximize,12,80,84.18,12.78,60.20
maximize,12,90,83.53,12.69,59.50
maximize,12,100,83.23,12.37,60.00
