test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,42.75,0.00,0.00
CPUStress,64,10,84.84,0.00,0.00
CPUStress,64,20,99.03,0.00,0.00
CPUStress,64,30,108.28,0.00,0.00
CPUStress,64,40,122.52,0.00,0.00
CPUStress,64,50,130.81,0.00,0.00
CPUStress,64,60,140.07,0.00,0.00
CPUStress,64,70,148.52,0.00,0.00
CPUStress,64,80,155.13,0.00,0.00
CPUStress,64,90,161.80,0.00,0.00
CPUStress,64,100,166.51,0.00,0.00
VMStress,64,0,168.31,0.00,0.00
VMStress,64,10,113.53,0.00,0.00
VMStress,64,20,105.27,0.00,0.00
VMStress,64,30,100.31,0.00,0.00
VMStress,64,40,97.77,0.00,0.00
VMStress,64,50,97.66,0.00,0.00
VMStress,64,60,96.10,0.00,0.00
VMStress,64,70,96.71,0.00,0.00
VMStress,64,80,96.07,0.00,0.00
VMStress,64,90,91.94,0.00,0.00
VMStress,64,100,88.47,0.00,0.00
maximize,64,0,190.35,0.00,0.00
maximize,64,10,190.84,0.00,0.00
maximize,64,20,190.55,0.00,0.00
maximize,64,30,186.89,0.00,0.00
maximize,64,40,192.16,0.00,0.00
maximize,64,50,193.86,0.00,0.00
maximize,64,60,191.57,0.00,0.00
maximize,64,70,194.29,0.00,0.00
maximize,64,80,194.76,0.00,0.00
maximize,64,90,193.80,0.00,0.00
maximize,64,100,196.12,0.00,0.00
