test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,42.85,0.00,0.00
CPUStress,64,10,84.89,0.00,0.00
CPUStress,64,20,98.11,0.00,0.00
CPUStress,64,30,109.06,0.00,0.00
CPUStress,64,40,121.70,0.00,0.00
CPUStress,64,50,131.17,0.00,0.00
CPUStress,64,60,140.62,0.00,0.00
CPUStress,64,70,147.47,0.00,0.00
CPUStress,64,80,154.59,0.00,0.00
CPUStress,64,90,162.21,0.00,0.00
CPUStress,64,100,165.53,0.00,0.00
VMStress,64,0,161.71,0.00,0.00
VMStress,64,10,132.18,0.00,0.00
VMStress,64,20,114.33,0.00,0.00
VMStress,64,30,104.22,0.00,0.00
VMStress,64,40,99.61,0.00,0.00
VMStress,64,50,97.42,0.00,0.00
VMStress,64,60,91.86,0.00,0.00
VMStress,64,70,90.39,0.00,0.00
VMStress,64,80,106.20,0.00,0.00
VMStress,64,90,110.85,0.00,0.00
VMStress,64,100,113.06,0.00,0.00
maximize,64,0,192.34,0.00,0.00
maximize,64,10,193.33,0.00,0.00
maximize,64,20,192.22,0.00,0.00
maximize,64,30,193.81,0.00,0.00
maximize,64,40,191.31,0.00,0.00
maximize,64,50,192.80,0.00,0.00
maximize,64,60,192.90,0.00,0.00
maximize,64,70,193.05,0.00,0.00
maximize,64,80,194.29,0.00,0.00
maximize,64,90,190.32,0.00,0.00
maximize,64,100,190.12,0.00,0.00
