test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,42.58,0.00,0.00
CPUStress,64,10,84.15,0.00,0.00
CPUStress,64,20,98.92,0.00,0.00
CPUStress,64,30,111.39,0.00,0.00
CPUStress,64,40,122.37,0.00,0.00
CPUStress,64,50,131.08,0.00,0.00
CPUStress,64,60,139.95,0.00,0.00
CPUStress,64,70,147.76,0.00,0.00
CPUStress,64,80,154.97,0.00,0.00
CPUStress,64,90,161.58,0.00,0.00
CPUStress,64,100,163.55,0.00,0.00
VMStress,64,0,165.59,0.00,0.00
VMStress,64,10,168.54,0.00,0.00
VMStress,64,20,134.71,0.00,0.00
VMStress,64,30,115.09,0.00,0.00
VMStress,64,40,127.37,0.00,0.00
VMStress,64,50,103.58,0.00,0.00
VMStress,64,60,93.51,0.00,0.00
VMStress,64,70,89.82,0.00,0.00
VMStress,64,80,99.07,0.00,0.00
VMStress,64,90,91.10,0.00,0.00
VMStress,64,100,95.48,0.00,0.00
maximize,64,0,191.47,0.00,0.00
maximize,64,10,191.62,0.00,0.00
maximize,64,20,189.10,0.00,0.00
maximize,64,30,192.77,0.00,0.00
maximize,64,40,191.19,0.00,0.00
maximize,64,50,192.11,0.00,0.00
maximize,64,60,192.68,0.00,0.00
maximize,64,70,193.75,0.00,0.00
maximize,64,80,193.95,0.00,0.00
maximize,64,90,190.47,0.00,0.00
maximize,64,100,180.72,0.00,0.00
