test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,118.30,0.95,54.60
CPUStress,64,10,223.29,1.02,60.50
CPUStress,64,20,256.24,1.08,63.20
CPUStress,64,30,272.31,1.11,64.30
CPUStress,64,40,285.75,1.12,65.00
CPUStress,64,50,289.23,1.15,66.10
CPUStress,64,60,292.19,1.13,66.90
CPUStress,64,70,304.47,1.14,68.50
CPUStress,64,80,317.01,1.15,69.40
CPUStress,64,90,322.46,1.10,71.50
CPUStress,64,100,316.28,1.03,72.30
ipsec,64,100,284.12,1.01,71.30
VMStress,64,100,322.50,3.43,72.20
maximize,64,100,348.86,4.96,75.90
