test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,113.13,0.88,27.80
CPUStress,64,10,219.28,0.95,36.00
CPUStress,64,20,253.95,1.01,43.40
CPUStress,64,30,264.92,1.02,47.70
CPUStress,64,40,285.78,1.07,52.20
CPUStress,64,50,284.53,1.03,54.00
CPUStress,64,60,299.91,1.07,57.20
CPUStress,64,70,302.01,1.06,59.50
CPUStress,64,80,309.52,1.07,62.60
CPUStress,64,90,319.16,1.06,65.80
CPUStress,64,100,314.15,0.98,67.00
ipsec,64,100,285.79,0.99,66.20
VMStress,64,100,318.88,3.38,67.20
maximize,64,100,346.31,4.97,71.50
