test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,58.71,0.00,0.00
CPUStress,64,10,110.53,0.00,0.00
CPUStress,64,20,151.74,0.00,0.00
CPUStress,64,30,175.48,0.00,0.00
CPUStress,64,40,192.69,0.00,0.00
CPUStress,64,50,216.51,0.00,0.00
CPUStress,64,60,238.11,0.00,0.00
CPUStress,64,70,254.17,0.00,0.00
CPUStress,64,80,259.85,0.00,0.00
CPUStress,64,90,259.41,0.00,0.00
CPUStress,64,100,255.77,0.00,0.00
VMStress,64,0,162.97,0.00,0.00
VMStress,64,10,159.32,0.00,0.00
VMStress,64,20,157.70,0.00,0.00
VMStress,64,30,157.85,0.00,0.00
VMStress,64,40,158.50,0.00,0.00
VMStress,64,50,157.85,0.00,0.00
VMStress,64,60,158.96,0.00,0.00
VMStress,64,70,157.86,0.00,0.00
VMStress,64,80,158.52,0.00,0.00
VMStress,64,90,157.59,0.00,0.00
VMStress,64,100,158.16,0.00,0.00
maximize,64,0,243.77,0.00,0.00
maximize,64,10,245.66,0.00,0.00
maximize,64,20,260.40,0.00,0.00
maximize,64,30,249.16,0.00,0.00
maximize,64,40,254.65,0.00,0.00
maximize,64,50,253.53,0.00,0.00
maximize,64,60,250.22,0.00,0.00
maximize,64,70,257.01,0.00,0.00
maximize,64,80,256.84,0.00,0.00
maximize,64,90,254.24,0.00,0.00
maximize,64,100,254.01,0.00,0.00
