test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,42.92,0.00,0.00
CPUStress,64,10,99.78,0.00,0.00
CPUStress,64,20,121.51,0.00,0.00
CPUStress,64,30,142.82,0.00,0.00
CPUStress,64,40,160.83,0.00,0.00
CPUStress,64,50,176.95,0.00,0.00
CPUStress,64,60,190.44,0.00,0.00
CPUStress,64,70,206.73,0.00,0.00
CPUStress,64,80,215.67,0.00,0.00
CPUStress,64,90,220.33,0.00,0.00
CPUStress,64,100,222.49,0.00,0.00
VMStress,64,0,189.54,0.00,0.00
VMStress,64,10,203.73,0.00,0.00
VMStress,64,20,161.98,0.00,0.00
VMStress,64,30,140.29,0.00,0.00
VMStress,64,40,150.59,0.00,0.00
VMStress,64,50,153.87,0.00,0.00
VMStress,64,60,115.81,0.00,0.00
VMStress,64,70,114.18,0.00,0.00
VMStress,64,80,108.35,0.00,0.00
VMStress,64,90,106.73,0.00,0.00
VMStress,64,100,104.15,0.00,0.00
maximize,64,0,224.15,0.00,0.00
maximize,64,10,226.67,0.00,0.00
maximize,64,20,225.18,0.00,0.00
maximize,64,30,225.06,0.00,0.00
maximize,64,40,224.77,0.00,0.00
maximize,64,50,226.35,0.00,0.00
maximize,64,60,226.27,0.00,0.00
maximize,64,70,227.95,0.00,0.00
maximize,64,80,226.44,0.00,0.00
maximize,64,90,225.54,0.00,0.00
maximize,64,100,226.03,0.00,0.00
